sourceImageId,fileName,url,alternateId
BFB2B044-616D-E211-BE78-CC52AF888AB6,NY01075813_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075813_lg.jpg,904707
C0B2B044-616D-E211-BE78-CC52AF888AB6,NY01075814_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075814_lg.jpg,904708
C1B2B044-616D-E211-BE78-CC52AF888AB6,NY01075815_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075815_lg.jpg,904709
C2B2B044-616D-E211-BE78-CC52AF888AB6,NY01075816_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075816_lg.jpg,904710
C3B2B044-616D-E211-BE78-CC52AF888AB6,NY01075817_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075817_lg.jpg,904711
C4B2B044-616D-E211-BE78-CC52AF888AB6,NY01075818_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075818_lg.jpg,904712
C5B2B044-616D-E211-BE78-CC52AF888AB6,NY01075819_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075819_lg.jpg,904713
C6B2B044-616D-E211-BE78-CC52AF888AB6,NY01075820_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075820_lg.jpg,904714
C7B2B044-616D-E211-BE78-CC52AF888AB6,NY01075821_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075821_lg.jpg,904715
C8B2B044-616D-E211-BE78-CC52AF888AB6,NY01075822_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075822_lg.jpg,904716
C9B2B044-616D-E211-BE78-CC52AF888AB6,NY01075823_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075823_lg.jpg,904717
CDB2B044-616D-E211-BE78-CC52AF888AB6,NY01075827_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075827_lg.jpg,904721
CEB2B044-616D-E211-BE78-CC52AF888AB6,NY01075828_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075828_lg.jpg,904722
CFB2B044-616D-E211-BE78-CC52AF888AB6,NY01075829_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075829_lg.jpg,904723
D0B2B044-616D-E211-BE78-CC52AF888AB6,NY01075830_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075830_lg.jpg,904724
D1B2B044-616D-E211-BE78-CC52AF888AB6,NY01075831_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075831_lg.jpg,904725
D7B2B044-616D-E211-BE78-CC52AF888AB6,NY01075837_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075837_lg.jpg,904731
D9B2B044-616D-E211-BE78-CC52AF888AB6,NY01075839_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075839_lg.jpg,904733
DAB2B044-616D-E211-BE78-CC52AF888AB6,NY01075840_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075840_lg.jpg,904734
DBB2B044-616D-E211-BE78-CC52AF888AB6,NY01075841_lg.jpg,http://storage.idigbio.org/ny/lichens/BATCH1/NY01075841_lg.jpg,904735
D0CDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000001_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000001_lg.jpg,1010329
D1CDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000002_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000002_lg.jpg,1010330
